Name,Twitter Handle,Sportsdata.Io ID,Team,Conf/Division
Devin Singletary,@motorsingletary,20941,Bills,AFC/East
T.J. Yeldon,@T_Yeldon,16797,Bills,AFC/East
Zack Moss,@PresMoss2,21784,Bills,AFC/East
Myles Gaskin,@MylesGaskin,20768,Dolphins,AFC/East
Matt Breida,@MattBreida,19319,Dolphins,AFC/East
Salvon Ahmed,@SalmanRushdie,21843,Dolphins,AFC/East
Frank Gore,@frankgore,5820,Jets,AFC/East
La'Mical Perine,@LP_deucedeuce,21797,Jets,AFC/East
Damien Harris,@DHx34,20790,Patriots,AFC/East
James White,@SweetFeet_White,16056,Patriots,AFC/East
Rex Burkhead,@RBrex34,14917,Patriots,AFC/East
Sony Michel,@Flyguy2stackz,19828,Patriots,AFC/East
Giovani Bernard,@G_Bernard25,14916,Bengals,AFC/North
Joe Mixon,@Joe_MainMixon,18858,Bengals,AFC/North
Samaje Perine,@samajp32,18993,Bengals,AFC/North
D'Ernest Johnson,@DernestJohnson2,21593,Browns,AFC/North
Kareem Hunt,@Kareemhunt7,18944,Browns,AFC/North
Nick Chubb,@NickChubb21,19798,Browns,AFC/North
Gus Edwards,@GodsGiftGus13,20239,Ravens,AFC/North
J.K. Dobbins,@Jkdobbins22,21674,Ravens,AFC/North
Mark Ingram,@markingram21,13337,Ravens,AFC/North
Anthony McFarland,@AnttMacc_,21854,Steelers,AFC/North
Benny Snell,@benny_snell,20950,Steelers,AFC/North
James Conner,@JamesConner_,18983,Steelers,AFC/North
Jonathan Taylor,@JayT23,21682,Colts,AFC/South
Nyheim Hines,@TheNyNy7,19912,Colts,AFC/South
James Robinson,@Robinson_jamess,21970,Jaguars,AFC/South
David Johnson,@DavidJohnson31,16847,Texans,AFC/South
Duke Johnson,@DukeJohnson_8,16838,Texans,AFC/South
D'Onta Foreman,@D33_foreman,18957,Titans,AFC/South
Derrick Henry,@KingHenry_2,17959,Titans,AFC/South
Jeremy McNichols,@JeremyMcNichols,19065,Titans,AFC/South
Melvin Gordon,@Melvingordon25,16776,Broncos,AFC/West
Phillip Lindsay,@I_CU_boy,20128,Broncos,AFC/West
Royce Freeman,@rolls_royce28,19823,Broncos,AFC/West
Joshua Kelley,@SmoothplayJK,21776,Chargers,AFC/West
Kalen Ballage,@kalenballage,19824,Chargers,AFC/West
Troymaine Pope,@Popedaadon,18764,Chargers,AFC/West
Austin Ekeler,@AustinEkeler,19562,Chargers,AFC/West
Justin Jackson,@J_ManPrime21,20064,Chargers,AFC/West
Clyde Edwards-Helaire,@Clydro_22,21769,Chiefs,AFC/West
Darrel Williams,@darrelwilliams_,20500,Chiefs,AFC/West
Darwin Thompson,@DTRAINN5,20964,Chiefs,AFC/West
Le'Veon Bell,@LeVeonBell,14967,Chiefs,AFC/West
Devontae Booker,@dbook23,17970,Raiders,AFC/West
Jalen Richard,@RocketRich30,18690,Raiders,AFC/West
Josh Jacobs,@iAM_JoshJacobs,20824,Raiders,AFC/West
Ezekiel Elliot,@EzekielElliott,17923,Cowboys,NFC/East
Tony Pollard,@Tp__5,20912,Cowboys,NFC/East
Boston Scott,@BostonScott2,20039,Eagles,NFC/East
Corey Clement,@CoreyClement_6,19548,Eagles,NFC/East
Miles Sanders,@BoobieMilesXXIV,20933,Eagles,NFC/East
Alfred Morris,@FredoSauce,14269,Giants,NFC/East
Devonta Freeman,@devontafreeman,16524,Giants,NFC/East
Dion Lewis,@DionLewisRB,12708,Giants,NFC/East
Saquon Barkley,@saquon,19766,Giants,NFC/East
Wayne Gallman,@waynegallman,18996,Giants,NFC/East
Antonio Gibson,@AntonioGibson14,21861,WFT,NFC/East
Bryce Love,@Blovee_20,20863,WFT,NFC/East
J.D. McKissic,@JdMckissic,18464,WFT,NFC/East
Peyton Barber,@Pb25Peyton,18375,WFT,NFC/East
David Montgomery,@MontgomerDavid,20882,Bears,NFC/North
Tarik Cohen,@TarikCohen,19003,Bears,NFC/North
Adrian Peterson,@AdrianPeterson,4807,Lions,NFC/North
D'Andre Swift,@DAndreSwift,21684,Lions,NFC/North
Kerryon Johnson,@AyeyoKEJO,19822,Lions,NFC/North
Aaron Jones,@Showtyme_33,19045,Packers,NFC/North
Jamaal Williams,@jswaggdaddy,18995,Packers,NFC/North
A.J. Dillon,@ajdillon7,21802,Packers,NFC/North
Dalvin Cook ,@dalvincook,18872,Vikings,NFC/North
Alexander Mattison,@AlexMattison22,20868,Vikings,NFC/North
Leonard Fournette,@_fournette,18803,Buccaneers,NFC/South 
Ronald Jones II,@rojo,19861,Buccaneers,NFC/South 
Brian Hill,@Heezy2Liv5,19033,Falcons,NFC/South 
Ito Smith,@ItoSmith,19924,Falcons,NFC/South 
Todd Gurley,@TG3II,16771,Falcons,NFC/South 
Christian McCaffrey,@CMC_22,18877,Panthers,NFC/South 
Mike Davis,@MikeDavisRB,16887,Panthers,NFC/South 
Alvin Kamara,@A_kamara6,18878,Saints,NFC/South 
Latavius Murray,@LataviusM,15071,Saints,NFC/South 
JaMycal Hasty,@MycHasty,21765,49ers,NFC/West
Jerick McKinnon,@JetMckinnon1,16510,49ers,NFC/West
Tevin Coleman,@Teco_Raww,16834,49ers,NFC/West
Raheem Mostert,@RMos_8Ball,17217,49ers,NFC/West
Chase Edmonds,@ChaseEdmonds22,19919,Cardinals,NFC/West
Kenyan Drake,@KDx32,18003,Cardinals,NFC/West
Cam Akers,@thereal_cam3,21688,Rams,NFC/West
Darrell Henderson,@DarrellH8,20798,Rams,NFC/West
Malcolm Brown,@MallyCat_28,17053,Rams,NFC/West
Alex Collins,@Budda03,18088,Seahawks,NFC/West
Carlos Hyde,@elguapo,16668,Seahawks,NFC/West
Chris Carson,@ccarson_32,19119,Seahawks,NFC/West
DeeJay Dallas,@DallasDeejay,21804,Seahawks,NFC/West
Travis Homer,@travishomer4,20810,Seahawks,NFC/West